model,lr,seed,fold,dir,kind,molecule,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,roc_auc,pr_auc,f1,accuracy,mcc
blosum,e3,s100,0,plots_H2-IEdB_H2-IEdA,plots,H2-IEdB_H2-IEdA,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold0.csv,,,250513/lomo/H2-IEdB_H2-IEdA/test.csv,0.5315095261358086,0.3377543500600704,0.3333333333333333,0.2142857142857142,-0.0525576160491528
blosum,e3,s100,1,plots_H2-IEdB_H2-IEdA,plots,H2-IEdB_H2-IEdA,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold1.csv,,,250513/lomo/H2-IEdB_H2-IEdA/test.csv,0.4914509037616023,0.2539278564873585,0.32,0.2410714285714285,-0.0733578945377798
blosum,e3,s100,2,plots_H2-IEdB_H2-IEdA,plots,H2-IEdB_H2-IEdA,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold2.csv,,,250513/lomo/H2-IEdB_H2-IEdA/test.csv,0.4885197850512945,0.2368725670922009,0.3603603603603603,0.3660714285714285,0.1038838108690598
blosum,e3,s100,3,plots_H2-IEdB_H2-IEdA,plots,H2-IEdB_H2-IEdA,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold3.csv,,,250513/lomo/H2-IEdB_H2-IEdA/test.csv,0.5461651196873474,0.22277029785579,0.3458646616541353,0.2232142857142857,0.0685468607187991
blosum,e3,s100,4,plots_H2-IEdB_H2-IEdA,plots,H2-IEdB_H2-IEdA,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/2_lomo/plots_H2-IEdB_H2-IEdA/e3_s100/pred-blosum_fold4.csv,,,250513/lomo/H2-IEdB_H2-IEdA/test.csv,0.4142647777234978,0.161725658985599,0.3511450381679389,0.2410714285714285,0.0978333742744822
blosum,e3,s100,0,plots_HLA-DPB1~01:01_HLA-DPA1~02:01,plots,HLA-DPB1~01:01_HLA-DPA1~02:01,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold0.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold0.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold0.csv,,,250513/lomo/HLA-DPB1~01:01_HLA-DPA1~02:01/test.csv,0.786413946473761,0.8898986698049107,0.8254681647940075,0.7041895895048667,0.104348193846701
blosum,e3,s100,1,plots_HLA-DPB1~01:01_HLA-DPA1~02:01,plots,HLA-DPB1~01:01_HLA-DPA1~02:01,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold1.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold1.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold1.csv,,,250513/lomo/HLA-DPB1~01:01_HLA-DPA1~02:01/test.csv,0.672905430161124,0.8106225495161234,0.8289606458123108,0.713076597545493,0.1659594586974829
blosum,e3,s100,2,plots_HLA-DPB1~01:01_HLA-DPA1~02:01,plots,HLA-DPB1~01:01_HLA-DPA1~02:01,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold2.csv,,,250513/lomo/HLA-DPB1~01:01_HLA-DPA1~02:01/test.csv,0.7410700135477108,0.8578137756109411,0.8254127063531765,0.7046127803639441,0.1018315715399598
blosum,e3,s100,3,plots_HLA-DPB1~01:01_HLA-DPA1~02:01,plots,HLA-DPB1~01:01_HLA-DPA1~02:01,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold3.csv,,,250513/lomo/HLA-DPB1~01:01_HLA-DPA1~02:01/test.csv,0.7948510177824356,0.9067379102274842,0.832367027980842,0.7185780787134998,0.2090807850267265
blosum,e3,s100,4,plots_HLA-DPB1~01:01_HLA-DPA1~02:01,plots,HLA-DPB1~01:01_HLA-DPA1~02:01,260905/9_blosum_rerun/2_lomo,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/2_lomo/plots_HLA-DPB1~01:01_HLA-DPA1~02:01/e3_s100/pred-blosum_fold4.csv,,,250513/lomo/HLA-DPB1~01:01_HLA-DPA1~02:01/test.csv,0.7901152833516526,0.8992924172255066,0.8283132530120482,0.7105374523910284,0.154817525874056
