model,lr,seed,fold,dir,kind,group,root,rel,path,val_auc,val_loss,test_path,serotype,roc_auc,pr_auc,f1,accuracy,mcc
af3,e5,s100,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,-1.304,0.4353,dataset/full/test.csv,DR,0.8571494915262889,0.8763240927843093,0.791528103363681,0.7721164446828164,0.5418077807493595
af3,e5,s100,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,-1.304,0.4353,dataset/full/test.csv,DP,0.9516150098125128,0.9883375313322011,0.9448173005219984,0.9096238397655104,0.6954764936768276
af3,e5,s100,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,-1.304,0.4353,dataset/full/test.csv,DQ,0.8621891834910103,0.885096914384182,0.7881466928618206,0.7721028531172949,0.54314267244657
af3,e5,s100,4,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,250513/1_bulk/2/plots/e5_s100/pred-af3_fold4.csv,-1.304,0.4353,dataset/full/test.csv,H2,0.7826165973784047,0.8968899729186198,0.8227374719521316,0.7437837837837837,0.3619378948150031
af3,e5,s128,0,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,-1.12754,0.40374,dataset/full/test.csv,DR,0.8776349344367695,0.893475315085752,0.8035345096151123,0.7933017490539614,0.5856211322899043
af3,e5,s128,0,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,-1.12754,0.40374,dataset/full/test.csv,DP,0.9702234754004836,0.9929855347247264,0.9597915115413254,0.9340498290180752,0.7768259176192996
af3,e5,s128,0,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,-1.12754,0.40374,dataset/full/test.csv,DQ,0.8774723108150173,0.9003577640586656,0.7967180174146015,0.7861923212398731,0.5713299024089376
af3,e5,s128,0,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold0.csv,-1.12754,0.40374,dataset/full/test.csv,H2,0.8041981871464594,0.9089998471472036,0.8203546646106399,0.7481081081081081,0.3996426387760119
af3,e5,s128,1,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,2.9284,0.45175,dataset/full/test.csv,DR,0.8495603066263675,0.8679684795765961,0.7737155001579598,0.7652334554989422,0.5306934215004404
af3,e5,s128,1,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,2.9284,0.45175,dataset/full/test.csv,DP,0.9525205281107464,0.9885878323631768,0.9436799759380404,0.9085246702491452,0.7005127561360225
af3,e5,s128,1,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,2.9284,0.45175,dataset/full/test.csv,DQ,0.8520623805986254,0.8785179061517767,0.7768424669300807,0.7712222613596337,0.542702559247192
af3,e5,s128,1,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold1.csv,2.9284,0.45175,dataset/full/test.csv,H2,0.8484574842681569,0.9266441140922738,0.8627748294162244,0.8043243243243243,0.5219711247332267
af3,e5,s128,2,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,2.11525,0.4575,dataset/full/test.csv,DR,0.8361833113381603,0.8566280690129118,0.7694686844140064,0.7512589017013795,0.4998563447182233
af3,e5,s128,2,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,2.11525,0.4575,dataset/full/test.csv,DP,0.929830625270466,0.9819909357138884,0.938284441143706,0.8985100146555935,0.6535145142556642
af3,e5,s128,2,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,2.11525,0.4575,dataset/full/test.csv,DQ,0.8270425404535089,0.8564983005995886,0.7334654892773472,0.7395209580838323,0.4853965898990741
af3,e5,s128,2,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold2.csv,2.11525,0.4575,dataset/full/test.csv,H2,0.7841045911992549,0.8975474286110702,0.810641627543036,0.7383783783783784,0.3902658427113216
af3,e5,s128,3,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,-5.53419,0.43048,dataset/full/test.csv,DR,0.8575339679871523,0.8772374767166767,0.783536238479918,0.7732487113018086,0.5457751262890833
af3,e5,s128,3,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,-5.53419,0.43048,dataset/full/test.csv,DP,0.96261144047928,0.991141385400134,0.9483071342200724,0.9164631167562286,0.7318172723024398
af3,e5,s128,3,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,-5.53419,0.43048,dataset/full/test.csv,DQ,0.8596782117415868,0.8846199255208342,0.7809103795873366,0.7550193730186685,0.5116084983054497
af3,e5,s128,3,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold3.csv,-5.53419,0.43048,dataset/full/test.csv,H2,0.797201208569027,0.906565230614039,0.819258089976322,0.7524324324324324,0.4311518890564909
af3,e5,s128,4,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,-1.45632,0.44374,dataset/full/test.csv,DR,0.8535189208704359,0.8707448109372906,0.7881170575043606,0.771967462232949,0.5416059537280054
af3,e5,s128,4,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,-1.45632,0.44374,dataset/full/test.csv,DP,0.9508174544834778,0.9874521027144578,0.9484718736158276,0.9147532975085492,0.704266907467251
af3,e5,s128,4,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,-1.45632,0.44374,dataset/full/test.csv,DQ,0.8725447198859912,0.8936368485934616,0.7985347985347986,0.7772102853117295,0.5554320311233522
af3,e5,s128,4,plots,plots,,250513/1_bulk,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,250513/1_bulk/4/plots/e5_s128/pred-af3_fold4.csv,-1.45632,0.44374,dataset/full/test.csv,H2,0.8530066562166339,0.9302434386489772,0.8693820224719101,0.798918918918919,0.4700046881861938
af3,e5,s42,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold0.csv,5.47852,0.44382,dataset/full/test.csv,DR,0.8442378245841092,0.866022178295488,0.7789653934322093,0.7615386907422306,0.5205548158723946
af3,e5,s42,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold0.csv,5.47852,0.44382,dataset/full/test.csv,DP,0.9415547879292434,0.9859782886483944,0.937795452840099,0.8987542745481192,0.6659793527553918
af3,e5,s42,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold0.csv,5.47852,0.44382,dataset/full/test.csv,DQ,0.8320674674328246,0.8587533135306304,0.765950676213206,0.7409299048960901,0.4818402453684399
af3,e5,s42,0,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold0.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold0.csv,5.47852,0.44382,dataset/full/test.csv,H2,0.8096560576114861,0.9087799882943696,0.8264591439688715,0.7589189189189189,0.4336090813573673
af3,e5,s42,1,plots,plots,,250513/1_bulk,250513/1_bulk/2/plots/e5_s42/pred-af3_fold1.csv,250513/1_bulk/2/plots/e5_s42/pred-af3_fold1.csv,3.43876,0.46366,dataset/full/test.csv,DR,0.8384702356335605,0.858915082255491,0.7762589341522407,0.75468549804833,0.5066298947587874
