model,lr,seed,serotype,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
af3,e5,s100,DP,0.9523603217912278,0.9884281396461768,0.9461126346872432,0.9112359550561798,0.6957434951465874,5
af3,e5,s100,DQ,0.8525921224181706,0.8778707041846566,0.7793263554324427,0.7588587530820712,0.5180921630697777,5
af3,e5,s100,DR,0.8559047835184312,0.8738732993146741,0.789775977400676,0.7718006018890975,0.5412916944725574,5
af3,e5,s100,H2,0.813452713600945,0.9061793524473998,0.8537709807371214,0.7792432432432432,0.4270722919688124,5
af3,e5,s128,DP,0.9532007047488907,0.9884315581832768,0.9477069872917945,0.9144601856375182,0.7133874735561354,5
af3,e5,s128,DQ,0.857760032698946,0.8827261489848655,0.7772942303488329,0.7658330398027474,0.5332939161968011,5
af3,e5,s128,DR,0.854886288251777,0.8732108302658455,0.7836743980342714,0.7710020559578081,0.5407103957051314,5
af3,e5,s128,H2,0.8173936254799065,0.9140000118227128,0.8364822468036264,0.7684324324324324,0.44260723669264895,5
af3,e5,s42,DP,0.9462027576344567,0.9870748311892135,0.9395504571382094,0.9019540791402052,0.6806707890334073,5
af3,e5,s42,DQ,0.836215624089417,0.865000966680839,0.7577757976688925,0.7471644945403311,0.49447031261346536,5
af3,e5,s42,DR,0.8457946999007454,0.8661917144925404,0.7816176976374992,0.7619796787938381,0.5217707588561751,5
af3,e5,s42,H2,0.8218303459869603,0.9147662960919604,0.8450183402831705,0.7712432432432432,0.4194848553353016,5
blosum,e3,s100,DP,0.9476751063514705,0.9874171969119342,0.9395208296740855,0.902076209086468,0.6834289952854483,5
blosum,e3,s100,DQ,0.8328996595848785,0.8551350070750484,0.7576456238272995,0.7474462839027827,0.4948091347369619,5
blosum,e3,s100,DR,0.8463435530334824,0.8614183341025454,0.7764311769200066,0.7637019159143053,0.5259790589097267,5
blosum,e3,s100,H2,0.8130500465707989,0.8949188284839776,0.8638799754601211,0.7902702702702703,0.44613243892207555,5
blosum,e3,s128,DP,0.9542851416236777,0.9890735427156401,0.9452545312680718,0.9110161211529066,0.7082686999774017,5
blosum,e3,s128,DQ,0.8483213447143167,0.8686570879485787,0.7686880195231454,0.7614300810144418,0.5228311303137799,5
blosum,e3,s128,DR,0.8525733012056603,0.8672817666005948,0.7826894516012445,0.7698221149548583,0.5383637795967877,5
blosum,e3,s128,H2,0.8142330584520321,0.903756747604886,0.8558771774159213,0.782918918918919,0.434007284258575,5
blosum,e3,s42,DP,0.9461059783178177,0.9868611319242785,0.9429663536721371,0.9066438690766976,0.6860170709479703,5
blosum,e3,s42,DQ,0.8345134241703687,0.8568688738926875,0.7567987611140183,0.750792532581895,0.5021908605158556,5
blosum,e3,s42,DR,0.8433487675514059,0.8584651148876062,0.7778811219923341,0.7618604928339442,0.5217458394001738,5
blosum,e3,s42,H2,0.8113700901883277,0.8987309163691941,0.8588456741902627,0.7792432432432432,0.4068761919418005,5
boltz,e5,s100,DP,0.9637767949538883,0.9913503619036316,0.9518350359246677,0.9220322423058134,0.7486037575680695,5
boltz,e5,s100,DQ,0.8479611143100652,0.8687840324229796,0.7752108615186932,0.7619584360690383,0.5241708447038783,5
boltz,e5,s100,DR,0.8651178227691885,0.8814195245533563,0.7961854375125051,0.7809421650129614,0.5603161963383767,5
boltz,e5,s100,H2,0.8250096549217382,0.9166920521653278,0.8429984808293787,0.7747027027027027,0.446866647997589,5
boltz,e5,s128,DP,0.9573334715894999,0.9899237638582893,0.9489646357826654,0.915828041035662,0.7126754851629584,5
boltz,e5,s128,DQ,0.8322133347654039,0.8542994286725036,0.7561093037200513,0.7426910884114125,0.48644949681351146,5
boltz,e5,s128,DR,0.8586043934031393,0.8757706283894293,0.7934975549859467,0.7760495813593159,0.5503004437407666,5
boltz,e5,s128,H2,0.8050989345509894,0.9040315094135142,0.8400986167101234,0.7714594594594595,0.4401209887780192,5
boltz,e5,s42,DP,0.9652842837799197,0.991948986788189,0.9495310172903905,0.9184904738641915,0.7409353895317665,5
boltz,e5,s42,DQ,0.8471993074347338,0.8690289947928418,0.7774847090392647,0.755054596688975,0.5104480478351525,5
boltz,e5,s42,DR,0.8637899706973275,0.8804434713474805,0.7965149384413583,0.7793271952563987,0.55754412678086,5
boltz,e5,s42,H2,0.8280594743179082,0.9197149294181584,0.8553765931663249,0.785945945945946,0.45200312596216774,5
chai,e5,s100,DP,0.9805850599710952,0.9956016215484438,0.9657127570339549,0.9445041524181729,0.8214388485852812,5
chai,e5,s100,DQ,0.8810951635792617,0.9006978216691115,0.8016873094762735,0.7908770693906305,0.5811059567136866,5
chai,e5,s100,DR,0.8941852695219452,0.9082683985436366,0.8236672439275703,0.8108816781383152,0.6203651821631134,5
chai,e5,s100,H2,0.8542447579454325,0.9335754462759791,0.8603073348570833,0.796972972972973,0.4928305708062128,5
chai,e5,s128,DP,0.9791169622339178,0.995270618105268,0.9630150940193196,0.9401319003419639,0.8075314377416511,5
chai,e5,s128,DQ,0.8833098632869799,0.9028533316983915,0.7917491441478055,0.7915463191264529,0.5877884228854932,5
chai,e5,s128,DR,0.8949363684024624,0.9089175339924196,0.8212361384146712,0.8112869104019547,0.6220648225625964,5
chai,e5,s128,H2,0.8535757286626229,0.9335103891809154,0.861039409964221,0.8023783783783784,0.5210736480891246,5
chai,e5,s42,DP,0.9805011726447065,0.9955979943428961,0.9650402671018069,0.943209574987787,0.814674178623082,5
chai,e5,s42,DQ,0.8836593407303759,0.9034469504265775,0.7988702699342207,0.795420922860162,0.5920070396445152,5
chai,e5,s42,DR,0.895865828741145,0.9098906839358539,0.8243788564444063,0.8123119096570424,0.6236676964537309,5
chai,e5,s42,H2,0.8554135714123448,0.933417097966645,0.8629809799772105,0.8023783783783784,0.5113352544975456,5
deepneo,e3,s100,DP,0.960577915376677,0.9904772272838285,0.9522855946327049,0.9212002449479485,0.727854030666258,5
deepneo,e3,s100,DQ,0.8566109178969462,0.8879419388568202,0.7811731220053488,0.770568295114656,0.5440436305215715,5
deepneo,e3,s100,DR,0.8740345934489657,0.8919734125834804,0.7968632935134198,0.7893149786955097,0.5790567844465541,5
deepneo,e3,s100,H2,0.8403348554033485,0.9221791938131171,0.8627063758310932,0.7995675675675675,0.49545667847314834,5
deepneo,e3,s128,DP,0.9609592591790733,0.9906170811550258,0.9517565382548785,0.921298224127373,0.738637039180845,5
deepneo,e3,s128,DQ,0.8532128618203367,0.8845168641243699,0.7826623555200954,0.7618743768693919,0.5209749283809716,5
deepneo,e3,s128,DR,0.8739883438392599,0.891302483843916,0.8039182325855319,0.7901075653288043,0.5788540548315849,5
deepneo,e3,s128,H2,0.8458540630182421,0.9223608928428298,0.8695833163323469,0.8114594594594594,0.5309466296369939,5
deepneo,e3,s42,DP,0.9655131432608213,0.9917951131994596,0.9544117419741056,0.925535823637477,0.7515501232320233,5
deepneo,e3,s42,DQ,0.8516604572404407,0.8839163767345596,0.7812286684583569,0.7656231306081754,0.5291761306998783,5
deepneo,e3,s42,DR,0.8773220010483135,0.8951465361345605,0.8040888728032535,0.7928190459163911,0.5852897405073383,5
deepneo,e3,s42,H2,0.8399815988550399,0.9234285292206046,0.8609080164958126,0.7943783783783783,0.4751832969839927,5
esm3_large,e5,s100,DP,0.9862823661708614,0.9969359226134932,0.9690469247456095,0.9495847581827064,0.8346536562724021,5
esm3_large,e5,s100,DQ,0.8979987931821505,0.9166611326105911,0.813078096063597,0.8097217330045791,0.6217551411755613,5
esm3_large,e5,s100,DR,0.9132285205624697,0.9263833749753662,0.837429758264746,0.8312267214922082,0.6633017466885519,5
esm3_large,e5,s100,H2,0.8928882982348533,0.9538909217294043,0.8668329775136684,0.8144864864864865,0.564946872869857,5
esm3_large,e5,s128,DP,0.9860388883210984,0.9968753325152176,0.9695364531996498,0.9508304836345871,0.8436564605108814,5
esm3_large,e5,s128,DQ,0.8963116971329746,0.9149188338315563,0.8099479142050082,0.8073265234237408,0.6164788331349125,5
esm3_large,e5,s128,DR,0.9134503033026725,0.9265833487267239,0.8402154483985,0.8299037573373858,0.6590173383085461,5
esm3_large,e5,s128,H2,0.887247552193371,0.9528438665859171,0.8713252077292125,0.8144864864864865,0.5414469627461922,5
esm3_large,e5,s42,DP,0.9850900855132269,0.9966676090794463,0.9697558930730447,0.9508549096238397,0.8393518690468152,5
esm3_large,e5,s42,DQ,0.8943420281899124,0.9134700784067125,0.8108599627263924,0.8029235646354349,0.6075873199298847,5
esm3_large,e5,s42,DR,0.9087206311110541,0.9218001555239084,0.8350962516896207,0.8255057954173,0.6502823064276863,5
esm3_large,e5,s42,H2,0.8850848497239829,0.9496715392283193,0.8728199984085135,0.8175135135135136,0.5514439835296265,5
esm3_medium,e5,s100,DP,0.9836560353435203,0.99632711637105,0.9684687432678439,0.948485588666341,0.8287042240265556,5
esm3_medium,e5,s100,DQ,0.8868459340630925,0.9062991665392308,0.7985250719173439,0.7973934483973231,0.5992743491579536,5
esm3_medium,e5,s100,DR,0.9047421818556656,0.9182018232451234,0.8320762388303515,0.8218110306605881,0.6427374220571376,5
esm3_medium,e5,s100,H2,0.8697596492423726,0.9426302664165362,0.8652332399835785,0.806054054054054,0.5233786607892412,5
esm3_medium,e5,s128,DP,0.9815246655655834,0.9957993086643974,0.9657768500848383,0.9444797264289203,0.8196561780670921,5
esm3_medium,e5,s128,DQ,0.8758677950189799,0.897261563256631,0.7833289878303334,0.7833392039450511,0.5718503749362573,5
esm3_medium,e5,s128,DR,0.8980321088554376,0.9125373826465022,0.8230358871537939,0.8141473734394088,0.6278614210074902,5
