model,lr,roc_auc,roc_auc_sd,pr_auc,pr_auc_sd,f1,f1_sd,accuracy,accuracy_sd,mcc,mcc_sd,n_seeds,seeds,n
blosum,e3,0.4764512963338801,0.014582643625454077,0.7033267758649685,0.01240392924143832,0.5593088258886445,0.07284488992453421,0.49162393162393164,0.04513482129045509,-0.0340841957771618,0.02335053356646152,3.0,s100|s128|s42,
chai,e5,0.6275015817885653,0.022546689663953824,0.8074679135029621,0.013963100961597264,0.7329634520825246,0.05278164962287349,0.6359615384615384,0.04564791254580662,0.14543575555676988,0.016327745056604177,3.0,s100|s128|s42,
deepneo,e3,0.5289532657948383,0.033572523636068226,0.758543239598013,0.02290079427750181,0.4833611164565668,0.2053528910921558,0.47145299145299147,0.10574930529746443,0.08261666643478371,0.044191553954988756,3.0,s100|s128|s42,
esm3_small,e5,0.6818492978528744,0.018085362726497394,0.8434081813724803,0.014733045836605375,0.7440632557881602,0.029546416769219996,0.6570299145299145,0.02681222089958731,0.22791502044712242,0.021383988506827087,3.0,s100|s128|s42,
esmc_small,e5,0.6798042961598961,0.02130439322934016,0.8364563397916633,0.015832872830253444,0.7299069468718636,0.029336162188152555,0.6461752136752137,0.02485405570589587,0.2365555669868479,0.02961299350311657,3.0,s100|s128|s42,
netmhcpan,,0.8834135665828515,,0.9492808495211139,,,,,,,,,,2557.0
mixmhcpred,,0.8745866257511827,,0.9502555629764047,,,,,,,,,,3119.0
