model,lr,seed,stratum,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
blosum,e3,s128,Overall,0.8767714621570774,0.9117526729652872,0.8216157635396684,0.7929971872931834,0.5753171121985059,5
blosum,e3,s42,"9-mer overlap, not exact",0.8638233356480246,0.9676749358199601,0.9126188553306106,0.8548581255374034,0.4845380534991025,5
blosum,e3,s42,>=1 9-mer overlap,0.8601207910434467,0.8819131266564538,0.7923236878871227,0.7739680920137278,0.5452480447296055,5
blosum,e3,s42,Exact 15-mer match,0.8452420589204965,0.8436266821162342,0.7528663808039211,0.7583522381452996,0.5177049979120346,5
blosum,e3,s42,No 9-mer overlap,0.7455338598638627,0.9896539105427304,0.9353510881029425,0.8798010711553175,0.1364874706831089,5
blosum,e3,s42,Overall,0.8679892226080576,0.9046938610502965,0.8168662859271256,0.7854111515552613,0.5580952581986217,5
boltz,e5,s100,"9-mer overlap, not exact",0.8837264450498251,0.973498573358424,0.9141820154949711,0.8582401834336487,0.5078865453263866,5
boltz,e5,s100,>=1 9-mer overlap,0.8780292177012203,0.8993213041679793,0.8075325256323496,0.7907754382710324,0.579464655043442,5
boltz,e5,s100,Exact 15-mer match,0.8655117462201979,0.8669419589924289,0.7727147496309259,0.7777513417805566,0.556987165377487,5
boltz,e5,s100,No 9-mer overlap,0.8322125636239776,0.994231902400014,0.9461690197277697,0.8990818668706962,0.18905391245496223,5
boltz,e5,s100,Overall,0.8868284661019104,0.9206561509028995,0.8315220075538592,0.8024859364659166,0.5934818356356422,5
boltz,e5,s128,"9-mer overlap, not exact",0.8849624159440677,0.9738186940193453,0.9133166962765935,0.8569790770994554,0.5059753199737668,5
boltz,e5,s128,>=1 9-mer overlap,0.8698550617469015,0.8923121592936353,0.8028368666739523,0.783146275855672,0.5637799645871133,5
boltz,e5,s128,Exact 15-mer match,0.8565932131415692,0.8579429180781932,0.7674096796831045,0.7688928235489405,0.5407101738180804,5
boltz,e5,s128,No 9-mer overlap,0.8256259934755998,0.9937464671856805,0.9463328172746699,0.8993879112471308,0.19719712032346073,5
boltz,e5,s128,Overall,0.8791416769084675,0.9150015369873803,0.827413091544465,0.7957147584381203,0.578118418302667,5
boltz,e5,s42,"9-mer overlap, not exact",0.8872674032132661,0.9747704960909728,0.9159447699266918,0.8605331040412725,0.5065453939940955,5
boltz,e5,s42,>=1 9-mer overlap,0.8758303495022034,0.8974575538845622,0.8065688345043748,0.7873202856877841,0.5730275709160526,5
boltz,e5,s42,Exact 15-mer match,0.8628380030315617,0.8637883204865519,0.7711762663731299,0.773186521330161,0.5499015193039081,5
boltz,e5,s42,No 9-mer overlap,0.8298037141448772,0.9940736858921688,0.950061130235061,0.906159143075746,0.2004629521908435,5
boltz,e5,s42,Overall,0.8851944602292463,0.9196485869809793,0.831221617438613,0.8001695896757115,0.5880675672285497,5
chai,e5,s100,"9-mer overlap, not exact",0.9151789731080366,0.9813661724679099,0.928893603075726,0.8812553740326742,0.5692742527680583,5
chai,e5,s100,>=1 9-mer overlap,0.9045437400883733,0.9221448208862973,0.8326644052565797,0.8190288470457286,0.636225716892174,5
chai,e5,s100,Exact 15-mer match,0.8928016557821469,0.8943675983112979,0.8005946659814409,0.8070159907043657,0.6143255319998905,5
chai,e5,s100,No 9-mer overlap,0.8692486416730821,0.9955253300389824,0.9625849118735855,0.9287681713848508,0.2539970762959548,5
chai,e5,s100,Overall,0.9132391792155365,0.9401388952362802,0.8555171497489324,0.8308942753143613,0.6520225961151552,5
chai,e5,s128,"9-mer overlap, not exact",0.9165715714378979,0.9817300001965965,0.92454030462613,0.875695041559186,0.5737613928655276,5
