model,lr,seed,fold,dir,kind,group,root,rel,path,src_path,file_path,val_auc,val_loss,test_path,serotype,roc_auc,pr_auc,f1,accuracy,mcc
blosum,e3,s100,2,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,,,dataset/ms_ql/test.csv,DQ,0.9649480497887896,0.9467424029200884,0.8483362521891419,0.8997453114146793,0.7778372093867053
blosum,e3,s100,2,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold2.csv,,,dataset/ms_ql/test.csv,H2,0.8814608288585984,0.9297822923546152,0.8656447249774571,0.8155940594059405,0.575169758035613
blosum,e3,s100,3,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,,,dataset/ms_ql/test.csv,DR,0.934222350658805,0.8393005352790297,0.7403243243243244,0.8838098002225124,0.6685040026748473
blosum,e3,s100,3,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,,,dataset/ms_ql/test.csv,DP,0.98315303504133,0.9955900827630012,0.9688794994718452,0.9501950585175551,0.8442781949680951
blosum,e3,s100,3,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,,,dataset/ms_ql/test.csv,DQ,0.9716817102003894,0.9565612878393224,0.8872532619605219,0.9219726788608474,0.8279818162908467
blosum,e3,s100,3,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold3.csv,,,dataset/ms_ql/test.csv,H2,0.8013493046950295,0.880070242321756,0.7884231536926147,0.7376237623762376,0.4566132455297578
blosum,e3,s100,4,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,,,dataset/ms_ql/test.csv,DR,0.9246171113039948,0.8070438282550979,0.7133207839663381,0.8747641851690611,0.6387212755626942
blosum,e3,s100,4,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,,,dataset/ms_ql/test.csv,DP,0.9777574816101272,0.994269073176518,0.9632305716120744,0.940442132639792,0.8078627139565576
blosum,e3,s100,4,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,,,dataset/ms_ql/test.csv,DQ,0.9609389457033168,0.9413093739217668,0.8504772004241782,0.902060662190322,0.7833777197546039
blosum,e3,s100,4,plots_ql,plots,ql,260905/9_blosum_rerun/5_ms,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,/home/hwjang/project/260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,260905/9_blosum_rerun/5_ms/plots_ql/e3_s100/pred-blosum_fold4.csv,,,dataset/ms_ql/test.csv,H2,0.8430400660883932,0.9033467948788432,0.8524590163934426,0.7995049504950495,0.5411655069584758
