model,lr,seed,serotype,roc_auc,pr_auc,f1,accuracy,mcc,n_folds
blosum,e3,s100,DP,0.9809836934196191,0.9950791842385766,0.9653767958825847,0.9442912873862159,0.8239260824597514,5
blosum,e3,s100,DQ,0.9687401662820069,0.952314244808617,0.8706650220457719,0.9128501968048159,0.8077196300490069,5
blosum,e3,s100,DR,0.9335258917085751,0.8329216972860639,0.7420334154685654,0.8843418952256566,0.6704851271217352,5
blosum,e3,s100,H2,0.8482885859837532,0.905941004861971,0.8413942258622698,0.7913366336633663,0.5384321894251405,5
blosum,e3,s128,DP,0.9652441394372941,0.9906450497634867,0.9568130158835391,0.9295968790637191,0.7705793828716184,5
blosum,e3,s128,DQ,0.9466803716405672,0.9191387576067847,0.8405441901344999,0.8868256540865941,0.7533088334862976,5
blosum,e3,s128,DR,0.9185741630771187,0.7939435261328451,0.7217419309389022,0.8717070575146326,0.6399050996779936,5
blosum,e3,s128,H2,0.8559782459038965,0.9127842648585321,0.8571472779247712,0.8024752475247524,0.5433576575057387,5
blosum,e3,s42,DP,0.9806277603945626,0.9950108914329558,0.9630757416022819,0.9409102730819245,0.8164090636492602,5
blosum,e3,s42,DQ,0.9689589386206915,0.9531617993792778,0.8756332167068542,0.9135448020375087,0.8103284938091007,5
blosum,e3,s42,DR,0.935096281546485,0.8406811698226322,0.751015977884882,0.8865186475112466,0.6795999682895627,5
blosum,e3,s42,H2,0.8662398457937492,0.9185885422505162,0.8493573933360201,0.7992574257425742,0.5548971390154581,5
chai,e5,s100,DP,0.9937934550848244,0.9983761068697268,0.9815194956303657,0.9704031209362809,0.9074777188960204,5
chai,e5,s100,DQ,0.9859435719539309,0.979405384674501,0.9219768866920994,0.9463764760361195,0.8823497219598568,5
chai,e5,s100,DR,0.973978511862042,0.9361340740565888,0.8684047214450455,0.937203115174382,0.827427658910684,5
chai,e5,s100,H2,0.9127357841112488,0.952974909896,0.8774916536115173,0.8408415841584158,0.6536834195531636,5
chai,e5,s128,DP,0.9955818378051052,0.9988416642904315,0.984773306713749,0.9756046814044212,0.9236043543736875,5
chai,e5,s128,DQ,0.9899133176839252,0.9844228939223287,0.9350813549740131,0.954248668673304,0.9002852582472656,5
chai,e5,s128,DR,0.9779135489987135,0.9466558965995813,0.884494929396584,0.94498137667489,0.8486509496701242,5
chai,e5,s128,H2,0.9232686217816329,0.9557516240821002,0.8964857825479612,0.8608910891089108,0.6857332158821972,5
chai,e5,s42,DP,0.9957444528454655,0.9989336777959595,0.98504813644462,0.9760468140442132,0.9251496016019821,5
chai,e5,s42,DQ,0.9890909253158766,0.9833661276763076,0.9284647370123708,0.9492012039824033,0.8898439819589363,5
chai,e5,s42,DR,0.9782870168199027,0.9473147375782982,0.8842761516300222,0.9443235137619117,0.8478596372157835,5
chai,e5,s42,H2,0.9202065262288311,0.9551708903633724,0.8914607503155103,0.8537128712871287,0.6691054650091284,5
deepneo,e3,s100,DP,0.9853253137717589,0.9962083774700646,0.9727607698351498,0.9563053673788431,0.8624774203681529,5
deepneo,e3,s100,DQ,0.963517615109212,0.9509230272637273,0.8770000598171419,0.9070300560366785,0.8025646690897178,5
deepneo,e3,s100,DR,0.972973525051524,0.9396921870592736,0.8643184719892275,0.9367097179896483,0.8235200850308878,5
deepneo,e3,s100,H2,0.90838221120749,0.945809385178021,0.8868022054520079,0.8475247524752476,0.6544950393595272,5
deepneo,e3,s128,DP,0.9859098739783182,0.9963544929909854,0.9728694052611662,0.9562011464304325,0.8600564427704522,5
deepneo,e3,s128,DQ,0.9594765623606291,0.9468150714283841,0.86958115887861,0.9005603667855324,0.7897762879809482,5
deepneo,e3,s128,DR,0.9722761847438439,0.9369701166357357,0.8631479871163797,0.9367871136264693,0.8230321368747795,5
deepneo,e3,s128,H2,0.8973413190141815,0.9372032182580821,0.8888611071738349,0.85,0.6590759912795573,5
deepneo,e3,s42,DP,0.9871247242741357,0.9967336495332624,0.9735671949428705,0.9574517978113601,0.8648205551319246,5
deepneo,e3,s42,DQ,0.9600629047330871,0.9476934736040079,0.8705983301613427,0.8997962302598065,0.7889989941977869,5
deepneo,e3,s42,DR,0.9726140843236489,0.938210300203583,0.8633679476379204,0.9366710201712378,0.8229424434682848,5
deepneo,e3,s42,H2,0.9012591215751067,0.940443280491807,0.8821047457868868,0.8413366336633663,0.6402323658450341,5
esm3_small,e5,s100,DP,0.997160339110193,0.9992734567975379,0.9882610242601066,0.9811443433029909,0.940455593562971,5
esm3_small,e5,s100,DQ,0.9889408657147392,0.9834262899608597,0.9364978389804115,0.9555452651076639,0.9026841796954812,5
esm3_small,e5,s100,DR,0.9840980020591598,0.9631095544526481,0.9083873909238693,0.9568325835631016,0.8804201503519848,5
esm3_small,e5,s100,H2,0.935200330441966,0.9656726446571622,0.9075646352899757,0.8764851485148515,0.7228168256805336,5
esm3_small,e5,s128,DP,0.9968674491806736,0.9992131644308337,0.9858649489609949,0.9774252275682705,0.9301965484247304,5
esm3_small,e5,s128,DQ,0.9855991628599904,0.9785707520139579,0.9241249796548473,0.9469321602222737,0.8835182308439722,5
esm3_small,e5,s128,DR,0.983823746780472,0.9611326020283247,0.905260957268677,0.9551492284622455,0.8759940950413247,5
esm3_small,e5,s128,H2,0.9360622332369545,0.9672843070475794,0.9036348188302229,0.8705445544554455,0.7083489964104717,5
esm3_small,e5,s42,DP,0.9967185484056156,0.9991849072358342,0.9862420959006772,0.9779713914174252,0.9310769916060553,5
esm3_small,e5,s42,DQ,0.9868150918158104,0.979815357443751,0.924000158887998,0.9474415373929149,0.8852955810076567,5
esm3_small,e5,s42,DR,0.9837886211477924,0.9614470162648441,0.9052996616043026,0.9554491365549268,0.8764492636115253,5
esm3_small,e5,s42,H2,0.9344251686630869,0.9657080028816951,0.9055839789214272,0.8767326732673266,0.7304018171541962,5
esmc_small,e5,s100,DP,0.9975543531416937,0.9993993999325654,0.9876381068647518,0.980260078023407,0.9389694759543035,5
esmc_small,e5,s100,DQ,0.9900282224770965,0.9848778422369644,0.940510775283032,0.9585089141004863,0.9088763994269714,5
esmc_small,e5,s100,DR,0.9820873580918006,0.956540762055865,0.8938824844439051,0.9498573017946113,0.8614810810662054,5
esmc_small,e5,s100,H2,0.9327288999036212,0.9612842298208069,0.9049993279433061,0.8742574257425743,0.7197034136670137,5
esmc_small,e5,s128,DP,0.9973446418259151,0.9993413335826992,0.9890760603272497,0.9824967490247074,0.9451161289675681,5
esmc_small,e5,s128,DQ,0.9928779693718726,0.9886535309489848,0.9477514191099179,0.9631859226672841,0.9194140711323152,5
esmc_small,e5,s128,DR,0.9825933782135129,0.9586672600733486,0.9013521013343191,0.953446524452184,0.8710850556533117,5
esmc_small,e5,s128,H2,0.9120074349442377,0.9544625368444896,0.8835619844689278,0.8495049504950496,0.6738962922117377,5
esmc_small,e5,s42,DP,0.9970027420025633,0.9992642669820235,0.9863218756602141,0.9782054616384915,0.9332969321616614,5
esmc_small,e5,s42,DQ,0.9905963589294151,0.9857305298927022,0.9432351004178399,0.9605001157675389,0.9132146786770392,5
esmc_small,e5,s42,DR,0.9800014307583715,0.9519309139027268,0.8862421022277734,0.9471871523242876,0.8526781257957262,5
esmc_small,e5,s42,H2,0.9279361145532148,0.9590782571133492,0.8934419563078203,0.8611386138613861,0.6966298019887044,5
